cod,homicidios
1708205,5
5300108,786
5222302,0
5222203,1
5222054,1
5222005,2
5221908,1
5221858,103
5221809,0
5221700,7
5221601,7
5221577,1
5221551,2
5221502,0
5221452,1
5221403,9
5221304,0
5221197,3
5221080,0
5221007,0
5220702,0
5220686,2
5220603,0
5220454,13
5220504,2
5220405,3
5220280,0
5220264,0
5220207,6
5220157,1
5220108,4
5220058,1
5220009,2
5219902,1
5219803,3
5219753,38
5219738,0
5219712,1
5219704,2
5219605,0
5219506,0
5219456,1
5219407,2
5219357,0
5219308,16
5219258,0
5219209,0
5219100,0
5219001,0
5218904,0
5218805,91
5218789,0
5218706,3
5218607,2
5218508,4
5218391,1
5218300,7
5218102,1
5218052,0
5218003,4
5217708,5
5217609,40
5217401,2
5217302,5
5217203,3
5217104,4
5216908,0
5216809,0
5216452,0
5216403,0
5216007,0
5216304,0
5215900,0
5212808,0
5212709,0
5212600,0
5212501,144
5212303,2
5212253,0
5212204,1
5212105,1
5212055,1
5212006,1
5211909,36
5211800,2
5211701,0
5211602,0
5211503,12
5211404,0
5211305,0
5211206,3
5211008,2
5210901,4
5210802,0
5210604,1
5210562,1
5210406,8
5210307,0
5210208,9
5210158,2
5210109,2
5210000,30
5209952,3
5209937,0
5209903,7
5209804,1
5209705,3
5209606,0
5209457,0
5209291,1
5209408,2
5209200,2
5209150,1
5209101,7
5208905,3
5208806,14
5208707,402
5208608,20
5208509,1
5208400,2
5208301,1
5208152,0
5208103,0
5208004,48
5207907,1
5207808,0
5207600,2
5207535,0
5207501,2
5207402,5
5207352,0
5207253,1
5207105,1
5206909,0
5206800,0
5206701,2
5206602,0
5206503,1
5206404,0
5206305,1
5206206,23
5205802,0
5205901,1
5205703,0
5205513,7
5205521,0
5205497,31
5205471,2
5205455,1
5205406,2
5205307,0
5205208,0
5205109,8
5205059,1
5205000,1
5204953,1
5204904,6
5204854,1
5204805,3
5204706,3
5204656,2
5204607,0
5204557,0
5204508,17
5204409,4
5204300,1
5204250,1
5204102,2
5204201,0
5204003,0
5203906,0
5203807,0
5203609,0
5203575,0
5203559,1
5203500,1
5203401,2
5203203,2
5203302,7
5203104,0
5202809,0
5106299,1
5106281,0
5106273,2
5106265,2
5106257,2
5106240,4
5106232,3
5106224,5
5106216,1
5106208,0
5106190,0
5106182,3
5106174,0
5106158,8
5106109,2
5106000,1
5105903,4
5105622,4
5105606,6
5105580,3
5105507,1
5105309,0
5105259,11
5105234,2
5105176,2
5105200,4
5105150,7
5105101,12
5105002,2
5104906,1
5104807,5
5104609,2
5104559,0
5104542,5
5104526,0
5104500,0
5104203,3
5104104,11
5103957,0
5103908,1
5103858,0
5103809,0
5103700,3
5103601,2
5103502,9
5103452,2
5103437,2
5103403,218
5103379,4
5103361,0
5103353,9
5103304,7
5103254,16
5103205,5
5103106,3
5103056,4
5103007,3
5102850,1
5102793,1
5102694,1
5102702,5
5102686,1
5102678,12
5102637,12
5102603,2
5102504,14
5101902,7
5101852,1
5101803,7
5101704,14
5101605,1
5101407,8
5101308,6
5215801,0
5215702,6
5215652,0
5215603,17
5215504,1
5215405,2
5215306,1
5215256,0
5215231,69
5215207,1
5215009,0
5214903,0
5214879,1
5214861,0
5214838,2
5214705,1
5214606,16
5214507,13
5214408,0
5214101,1
5214051,1
5214002,2
5213905,0
5213855,0
5213806,7
5213772,0
5213756,3
5213707,2
5213509,1
5213400,0
5213103,10
5213087,8
5213053,0
5213004,1
5212956,0
5212907,0
5101258,4
5101209,1
5101001,0
5100805,0
5100607,4
5100508,6
5100409,2
5100359,0
5100300,6
5100250,10
5100201,6
5100102,1
5008404,0
5008305,36
5008008,5
5007976,0
5007950,7
5007935,0
5007901,12
5007802,0
5007703,5
5007695,1
5007554,0
5007505,1
5007406,6
5007307,0
5007109,4
5007208,14
5006903,3
5006606,46
5006408,1
5006358,5
5006309,3
5006275,0
5006259,1
5006200,10
5006002,9
5005806,2
5005707,14
5005681,5
5005608,5
5005400,15
5005251,1
5005202,2
5005152,1
5001003,8
5000906,4
5000856,4
5000807,0
5000708,4
5000609,18
5000252,2
5000203,6
4323804,1
4323770,0
4323754,1
4323705,1
4323606,0
4323507,0
4323457,0
4323408,0
4323309,0
4323200,1
4323101,2
4323002,80
4322905,0
4322855,0
4322806,3
4322707,1
4322608,8
4322558,0
4322541,0
4322533,0
4322525,0
4322509,16
4322400,16
4322376,0
4322350,0
4322301,1
4322343,0
4322202,4
4322251,0
4322152,0
4322186,1
4322103,0
4322004,3
4321956,4
4321907,2
4321857,1
4321832,2
4321808,1
4321709,1
4321667,0
4321634,0
4321600,12
4321501,5
4321493,0
4321477,0
4321469,0
4321451,2
4321436,2
4321402,4
4321352,0
4321329,1
4321303,2
4321204,5
4321105,1
4321006,0
4320909,0
4320859,1
4320701,2
4320800,4
5202601,0
5202502,0
5202353,0
5202155,3
5201801,1
5201702,5
5201603,0
5201504,0
5201454,0
5201405,199
5201306,0
5201108,90
5200902,0
5200852,0
5200829,0
5200803,8
5200605,0
5200555,1
5200506,0
5200308,17
5200258,108
5200209,0
5200175,1
